Precio (dolares),Número de Habitaciones,Piso,Barrio
887626,3,20,3
435053,1,6,26
841910,2,11,26
226911,1,16,6
104187,4,4,27
600066,3,9,30
869094,4,7,27
257335,2,20,18
70400,3,14,2
154491,1,10,2
620365,4,20,38
960144,1,8,18
631211,2,2,17
943155,4,9,25
223523,1,14,17
766399,2,1,33
954888,2,8,34
226373,3,16,2
186133,3,7,21
97422,5,20,24
409655,1,7,21
176774,5,6,15
818068,2,7,28
857172,1,19,15
999478,2,13,47
624653,5,5,46
878896,4,17,17
602411,2,6,33
511660,2,9,13
428218,3,20,10
653536,2,5,33
688677,3,7,8
110809,5,15,31
861892,4,1,32
135213,1,9,31
710377,2,1,22
792473,3,15,46
838579,4,9,17
410692,4,7,45
466620,1,17,23
977698,3,13,19
210620,4,11,13
207423,3,3,20
432215,1,7,3
569246,5,13,11
183576,3,12,8
405142,3,7,14
789063,2,11,29
933264,1,13,47
745535,1,4,4
266802,2,14,28
922940,2,5,36
265372,3,9,37
904615,4,6,17
830599,2,5,22
201615,4,11,9
929750,2,11,50
445838,1,1,38
201720,4,19,9
431806,1,13,24
772275,3,1,23
20822,5,14,18
773023,3,10,18
98871,1,12,29
807733,2,14,38
746678,3,13,41
719893,5,16,31
359078,3,4,18
156921,2,2,44
668461,4,7,3
699229,3,5,2
970143,3,19,12
470850,3,8,48
198775,5,13,13
414219,5,15,4
225496,2,19,46
30163,5,16,25
845156,5,18,6
923717,3,6,12
683118,2,17,32
178331,5,5,15
892717,2,19,32
783016,4,2,49
805652,5,12,33
234880,4,8,47
41200,1,10,47
419230,1,17,26
813881,3,10,2
791838,4,3,16
548991,3,17,5
558098,5,1,27
409631,3,14,8
241660,1,20,37
464312,5,6,46
40386,3,15,49
931794,5,7,12
97571,4,20,7
574917,2,9,16
582099,5,15,2
424095,5,18,48
888689,4,17,29
266784,5,3,38
92424,1,13,15
622623,1,6,42
887360,4,16,1
84436,1,15,12
276638,1,9,45
766823,1,9,23
69035,5,5,50
415531,1,18,9
412058,5,4,26
224442,2,15,42
510122,1,16,29
